prompt,task_type,placeholder,complexity
"Summarize the following: 'Photosynthesis is the process by which plants convert light into energy...'",3,,1
"Write a SQL query to select all rows where age > 30.",4,,1
"Explain this Python error: IndexError: list index out of range.",4,,1
"Write a function in JavaScript to reverse a string.",4,,1
"Debug this code snippet: 'for(i=0;i<10;i--){console.log(i)}'",4,,1
"Convert this Python loop into a list comprehension.",4,,1
"Plan a 3-day study schedule for exam preparation.",5,,1
"Help me organize my weekly tasks.",5,,1
"Create a workout plan for a beginner.",5,,1
"Help me outline a short presentation on climate change.",5,,1
"Generate a checklist for moving to a new apartment.",5,,1
"Invent a superhero with completely useless powers.",6,,0
"Write a short story about a robot learning to dance.",6,,1
"Give me an imaginative description of a floating city.",6,,1
"Describe a magical creature no one has ever heard of.",6,,1
"Create a creative writing prompt involving time travel.",6,,1
"Explain the difference between RAM and storage.",2,,1
"Teach me how the stock market works at a basic level.",2,,1
"Explain how machine learning models learn patterns.",2,,1
"Describe the water cycle.",2,,1
"Explain why tides occur on Earth.",2,,1
"Rewrite this sentence to sound more confident: 'I think I might be able to do it.'",3,,1
"Summarize this concept: 'Evolution by natural selection.'",3,,1
"Rewrite this paragraph to sound more dramatic: 'The meeting started late.'",3,,1
"Improve this sentence: 'I saw a bird.', make it more descriptive.",3,,1
"Proofread the following: 'The book were on the table.'",3,,0
"Write pseudocode for a bubble sort algorithm.",4,,1
"Explain how pointers work in C.",4,,2
"Write a Python class for a basic calculator.",4,,1
"Convert this for-loop into a while-loop in Java.",4,,1
"Explain what Big-O notation means.",4,,2
"Help me outline a business plan for a small café.",5,,2
"Create a daily productivity routine for remote work.",5,,1
"Generate a structured outline for writing a research paper.",5,,2
"Help me plan a budgeting strategy for monthly expenses.",5,,1
"Organize a step-by-step workflow for cleaning a house efficiently.",5,,1
"Write an opening line for a fantasy novel.",6,,1
"Describe a dystopian world where gravity changes daily.",6,,1
"Create a writing prompt involving a time loop.",6,,1
"Write a poem about a lonely lighthouse.",6,,1
"Invent a creature that lives in 4D space.",6,,2
"Explain photosynthesis like I'm five.",2,,1
"Why do volcanoes erupt?",2,,1
"How does a compass work?",2,,1
"Explain prime numbers to a beginner.",2,,0
"What are the states of matter?",2,,0
"Rewrite this paragraph to sound more academic: 'Dogs are really good pets.'",3,,1
"Fix the grammar: 'She don't like apples.'",3,,0
"Rewrite this in a sarcastic tone: 'Great, another meeting.'",3,,1
"Condense this sentence: 'He walked slowly and lazily down the long hallway.'",3,,0
"Summarize the plot of a generic fairy tale.",3,,1
"Write a bash command to list all files in a directory.",4,,0
"Explain why binary numbers are used in computers.",4,,1
"Write Python code that removes duplicates from a list.",4,,1
"Explain how neural networks approximate functions.",4,,2
"Debug this snippet: 'if (x = 5) print(x);'",4,,1
"Make a schedule for someone who works evenings and studies in the morning.",5,,1
"Help me design a morning routine for productivity.",5,,1
"Create a weekly meal-prep plan.",5,,1
"Organize a packing list for a weekend hiking trip.",5,,1
"Outline steps for starting a YouTube channel.",5,,1
"Give me a creative writing prompt about forgotten memories.",6,,1
"Describe an alien civilization powered by sound waves.",6,,2
"Create a short scene involving a talking mirror.",6,,1
"Write a bedtime story about a sleepy dragon.",6,,1
"Invent a magical artifact with three unusual abilities.",6,,1
"What's 2+2?",1,,0
"Where should I go on vacation?",1,,0
"Tell me a joke about computers.",1,,0
"How do you feel today?",1,,0
"What’s your favorite movie?",1,,0
"Explain how gravity works using simple language.",2,,1
"Teach me why the sky appears blue.",2,,1
"Explain how sound waves travel.",2,,1
"Describe how bridges stay standing.",2,,1
"Explain the basics of electricity.",2,,1
"Rewrite this sentence in a cheerful tone: 'The report is due tomorrow.'",3,,1
"Paraphrase: 'Artificial intelligence is transforming society.'",3,,1
"Proofread: 'Their going too the store.'",3,,0
"Condense this: 'Many people believe that learning languages is difficult because...'",3,,1
"Rewrite this paragraph to be more concise.",3,,1
"Write a Python function that checks if a number is prime.",4,,1
"Explain how hash maps work.",4,,2
"Create a basic HTML webpage structure.",4,,0
"Write a regex that matches email addresses.",4,,1
"Explain gradient descent in detail.",4,,2
